

                                            RAM FATAKA CENTER                                            
                            ITEM WISE PURCHASE SUMMRY : 01/04/2026 31/03/2027                            
Company  : ALL
---------------------------------------------------------------------------------------------------------
ITEM NAME               PACKING    |   OPEING   |   PURCHASE |PUR.RETU|    SALES   |SALE RET|    CLOSING
479- FLOWER POTS ASHOKA SPKT       |    0      0|    0      0|  0    0|  135      0|  0    0| -135      0
488- FLOWER POTS GAINT COPKT       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
489- FLOWER POTS GAINT S.PKT       |    0      0|    0      0|  0    0|   15      0|  0    0|  -15      0
491- FLOWER POTS COL KOTIPKT       |    0      0|    0      0|  0    0|  170      0|  0    0| -170      0
492- FLOWER POTS COL KOTIPKT       |    0      0|    0      0|  0    0|  130      0|  0    0| -130      0
493- FLOWER POTS COL KOTIPKT       |    0      0|    0      0|  0    0|  120      0|  0    0| -120      0
494- FLOWER POTS COL KOTIPKT       |    0      0|    0      0|  0    0|   20      0|  0    0|  -20      0
496- FLOWER POTS COL KOTIPKT       |    0      0|    0      0|  0    0|   30      0|  0    0|  -30      0
499- F. POTS COL KOTI DLXPKT       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
501- FLOWER POTS DLX (10 PKT       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
504- FLOWER POTS DLX COL PKT       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
506- F P MEGA DLX  (10 P)PKT       |    0      0|    0      0|  0    0|   19      0|  0    0|  -19      0
510- FLOWER POT DLX (5 PCPKT       |    0      0|    0      0|  0    0|   70      0|  0    0|  -70      0
511- FLOWER POT DLX (5 PCPKT       |    0      0|    0      0|  0    0|   13      0|  0    0|  -13      0
512- FLOWER POT DLX (5 PCPKT       |    0      0|    0      0|  0    0|    9      0|  0    0|   -9      0
513- FLOWER POTS SUP DLX PKT       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
515- FLOWER POTS RANG BARPKT       |    0      0|    0      0|  0    0|    6      0|  0    0|   -6      0
517- TRI COL FOUNTAIN RAJPKT       |    0      0|    0      0|  0    0|   22      0|  0    0|  -22      0
518- TRI COL FOUNTAIN W UPKT       |    0      0|    0      0|  0    0|   45      0|  0    0|  -45      0
519- TRI COL FOUNTAIN MERPKT       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
520- TRI COL FOUNTAIN COCPKT       |    0      0|    0      0|  0    0|   25      0|  0    0|  -25      0
522- TRI COL FOUNTAIN T/MPKT       |    0      0|    0      0|  0    0|   35      0|  0    0|  -35      0
525- JET FOUNTAIN W S.T.DPKT       |    0      0|    0      0|  0    0|   17      0|  0    0|  -17      0
526- KIDDY'S JOY F P 5IN PKT       |    0      0|    0      0|  0    0|    2      0|  0    0|   -2      0
532- CHEERS 3 IN 1 W S.T.PKT       |    0      0|    0      0|  0    0|   15      0|  0    0|  -15      0
533- CRACKLING FOUNTAIN SPKT       |    0      0|    0      0|  0    0|   46      0|  0    0|  -46      0
534- JADUGAR UV.BOX AYYANPKT       |    0      0|    0      0|  0    0|   11      0|  0    0|  -11      0
535- MANORANJAN U.V.BOX APKT       |    0      0|    0      0|  0    0|    6      0|  0    0|   -6      0
536- CAN SHOWER BIG TIN DPKT       |    0      0|    0      0|  0    0|   11      0|  0    0|  -11      0
537- CAN SHOWER TIN DABBAPKT       |    0      0|    0      0|  0    0|   53      0|  0    0|  -53      0
538- LEMON TREE CRA FOUNTPKT       |    0      0|    0      0|  0    0|   40      0|  0    0|  -40      0
539- GOLDEN WHISTE SMALL PKT       |    0      0|    0      0|  0    0|    9      0|  0    0|   -9      0
540- CHOTA BHAI F P MINI PKT       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
541- MINI SIREM F. POT COPKT       |    0      0|    0      0|  0    0|   22      0|  0    0|  -22      0
542- BIG SIREM F. POT COCPKT       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
543- FLY BEES MIX ( 1 P) PKT       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
544- SUPER STAR CRACKLINGPKT       |    0      0|    0      0|  0    0|    2      0|  0    0|   -2      0
546- PEACOCK DANCE VENKATPKT       |    0      0|    0      0|  0    0|   42      0|  0    0|  -42      0
547- PEACOCK DANCE DURGESPKT       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
548- PEACOCK DANCE GOLD BPKT       |    0      0|    0      0|  0    0|   24      0|  0    0|  -24      0
---------------------------------------------------------------------------------------------------------
                                            RAM FATAKA CENTER                                            
                            ITEM WISE PURCHASE SUMMRY : 01/04/2026 31/03/2027                            
Company  : ALL
---------------------------------------------------------------------------------------------------------
ITEM NAME               PACKING    |   OPEING   |   PURCHASE |PUR.RETU|    SALES   |SALE RET|    CLOSING
---------------------------------------------------------------------------------------------------------
550- SADA MATKA ANAR OTHEPCS       |    0      0|    0      0|  0    0|  100      0|  0    0| -100      0
552- TIM TIM GUDIYA ( 5 PBOX       |    0      0|    0      0|  0    0|   35      0|  0    0|  -35      0
553- LITTLE STAR ANAR GUDBOX       |    0      0|    0      0|  0    0|   25      0|  0    0|  -25      0
554- 2 IN 1 ANAR GUDIYA (BOX       |    0      0|    0      0|  0    0|    3      0|  0    0|   -3      0
555- GOLDEN STAR GUDIYA  BOX       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
556- ASHARFI GUDIYA ( 5 PBOX       |    0      0|    0      0|  0    0|    2      0|  0    0|   -2      0
557- JASMINE GUDIYA ( 5PCBOX       |    0      0|    0      0|  0    0|    7      0|  0    0|   -7      0
558- DAZZLE GUDIYA ( 5 PCBOX       |    0      0|    0      0|  0    0|    4      0|  0    0|   -4      0
560- GIFT BOX GUDIYA ( 4 BOX       |    0      0|    0      0|  0    0|    2      0|  0    0|   -2      0
567- DANCING BUTTERFLY R/PKT       |    0      0|    0      0|  0    0|  145      0|  0    0| -145      0
568- DANCING BUTTERFLY R/PKT       |    0      0|    0      0|  0    0|  165      0|  0    0| -165      0
575- MAGIC WHIP S.T.D( 2 PKT       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
576- 1000 COL MAGIC WHIP BOX       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
578- PHOTO FLASH VENKATESPCS       |    0      0|    0      0|  0    0|   45      0|  0    0|  -45      0
580- SKY SCRAPPER DRONE MPCS       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
581- SUPER DRONE W AYYAN(PKT       |    0      0|    0      0|  0    0|   13      0|  0    0|  -13      0
582- HELICOPTER AYYAN ( 5PKT       |    0      0|    0      0|  0    0|   13      0|  0    0|  -13      0
583- HELICOPTER R. KRISHNPKT       |    0      0|    0      0|  0    0|   33      0|  0    0|  -33      0
588- G C BIG T/MEENA( 10 PKT       |    0      0|    0      0|  0    0|   20      0|  0    0|  -20      0
589- G C BIG GANESH ( 10 PKT       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
590- G C BIG JENIS(10 P)(PKT       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
595- G C BIG T/MEENA (25 PKT       |    0      0|    0      0|  0    0|   12      0|  0    0|  -12      0
596- G C BIG GANESH (25 PPKT       |    0      0|    0      0|  0    0|   16      0|  0    0|  -16      0
600- G C ASOKA W MERCURY(PKT       |    0      0|    0      0|  0    0|   20      0|  0    0|  -20      0
601- G C ASOKA BIG SIZE GPKT       |    0      0|    0      0|  0    0|   30      0|  0    0|  -30      0
602- G C ASOKA S.T.D (10 PKT       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
603- G C ASOKA SPINNER W PKT       |    0      0|    0      0|  0    0|   15      0|  0    0|  -15      0
606- G C SPL (10 P) VENKAPKT       |    0      0|    0      0|  0    0|  120      0|  0    0| -120      0
607- G C SPL (10 P) T/MEEPKT       |    0      0|    0      0|  0    0|   90      0|  0    0|  -90      0
608- G C SPL (10 P) GANESPKT       |    0      0|    0      0|  0    0|   70      0|  0    0|  -70      0
610- G C SPL (10 P)(1P)W PKT       |    0      0|    0      0|  0    0|   60      0|  0    0|  -60      0
612- G C SPL W (10 P) I.NPKT       |    0      0|    0      0|  0    0|   20      0|  0    0|  -20      0
614- 45 CM G C SPL (10 P)PKT       |    0      0|    0      0|  0    0|  120      0|  0    0| -120      0
615- G C SPL (10 P) (5 P)PKT       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
617- G C SPL SPINNER WHEEPKT       |    0      0|    0      0|  0    0|  180      0|  0    0| -180      0
619- HOT WHEEL SPL I.N   PKT       |    0      0|    0      0|  0    0|   80      0|  0    0|  -80      0
622- G C DLX  (10 P) 5 P PKT       |    0      0|    0      0|  0    0|   70      0|  0    0|  -70      0
624- G C DLX  (10 P) 5 P PKT       |    0      0|    0      0|  0    0|   60      0|  0    0|  -60      0
625- G C DLX  (10 P) 5 P PKT       |    0      0|    0      0|  0    0|   30      0|  0    0|  -30      0
627- G C DLX  (10 P) 5 P PKT       |    0      0|    0      0|  0    0|   40      0|  0    0|  -40      0
630- G C DLX  (10 P) 5 P PKT       |    0      0|    0      0|  0    0|   45      0|  0    0|  -45      0
631- 70 CM G C DLX  (10 PPKT       |    0      0|    0      0|  0    0|  120      0|  0    0| -120      0
635- G C DLX  SPINNER WHEPKT       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
636- G C DLX SPINNER ( 10PKT       |    0      0|    0      0|  0    0|   80      0|  0    0|  -80      0
637- G C DLX  SPINNER(10PPKT       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
641- G C SUP DLX  (10 P) PKT       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
642- G C SUP DLX  (10 P) PKT       |    0      0|    0      0|  0    0|    4      0|  0    0|   -4      0
645- DISCO WHEEL GAYATHRIPKT       |    0      0|    0      0|  0    0|   45      0|  0    0|  -45      0
647- SILVER GAINT WHEEL MPKT       |    0      0|    0      0|  0    0|   17      0|  0    0|  -17      0
650- SUDARSHAN CHAKKAR ANPKT       |    0      0|    0      0|  0    0|   20      0|  0    0|  -20      0
651- TWIN SPIN S.T.D(5 PCPKT       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
652- MASKA CHASKA I. N ( PKT       |    0      0|    0      0|  0    0|    8      0|  0    0|   -8      0
654- LOTUS WHEEL M.K.R. (PKT       |    0      0|    0      0|  0    0|    3      0|  0    0|   -3      0
655- MUSICAL WHEEL MERCURPKT       |    0      0|    0      0|  0    0|   20      0|  0    0|  -20      0
656- WHISTLING WHEEL COCKPKT       |    0      0|    0      0|  0    0|   35      0|  0    0|  -35      0
---------------------------------------------------------------------------------------------------------
                                            RAM FATAKA CENTER                                            
                            ITEM WISE PURCHASE SUMMRY : 01/04/2026 31/03/2027                            
Company  : ALL
---------------------------------------------------------------------------------------------------------
ITEM NAME               PACKING    |   OPEING   |   PURCHASE |PUR.RETU|    SALES   |SALE RET|    CLOSING
---------------------------------------------------------------------------------------------------------
658- TITANIC WHEEL DURGESPKT       |    0      0|    0      0|  0    0|   40      0|  0    0|  -40      0
660- MANORANJAN CHAKAR WIPKT       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
661- SWASTIK WHEEL S.T.D PKT       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
662- SKY  WHEEL AYYAN (5 PKT       |    0      0|    0      0|  0    0|    3      0|  0    0|   -3      0
663- SPINNER BAMBARA LAVAPKT       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
664- LOTUS WHEEL (5 PCS) PKT       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
666- BABY ROCKET RAJ LAXMPKT       |    0      0|    0      0|  0    0|  110      0|  0    0| -110      0
667- COLOUR ROCKET AYYANAPKT       |    0      0|    0      0|  0    0|   30      0|  0    0|  -30      0
671- ROCKET BOMB (10P) 5PPKT       |    0      0|    0      0|  0    0|  140      0|  0    0| -140      0
672- ROCKET BOMB (10P) 5PPKT       |    0      0|    0      0|  0    0|   60      0|  0    0|  -60      0
677- LUNIK ROCKET(NO SOUNPKT       |    0      0|    0      0|  0    0|   16      0|  0    0|  -16      0
678- LUNIK ROCKET (10 P) PKT       |    0      0|    0      0|  0    0|   72      0|  0    0|  -72      0
680- LUNIK ROCKET (10 P) PKT       |    0      0|    0      0|  0    0|    4      0|  0    0|   -4      0
684- 2 SOUND ROCKET(NO SOPKT       |    0      0|    0      0|  0    0|   20      0|  0    0|  -20      0
685- 2 SOUND ROCKET (10 PPKT       |    0      0|    0      0|  0    0|   46      0|  0    0|  -46      0
686- 2 SOUND ROCKET (10 PPKT       |    0      0|    0      0|  0    0|    4      0|  0    0|   -4      0
692- 3 SOUND ROCKET (10 PPKT       |    0      0|    0      0|  0    0|   36      0|  0    0|  -36      0
696- WHISTLING ROCKET K.MPKT       |    0      0|    0      0|  0    0|    3      0|  0    0|   -3      0
697- WHISTLING ROCKET UV PKT       |    0      0|    0      0|  0    0|   24      0|  0    0|  -24      0
702- MULTI COLOUR ROCKET PKT       |    0      0|    0      0|  0    0|   16      0|  0    0|  -16      0
704- MULTI MUSIC ROCKET APKT       |    0      0|    0      0|  0    0|    2      0|  0    0|   -2      0
708- 18 T STAR SRIPATHI(1PKT       |    0      0|    0      0|  0    0|   50      0|  0    0|  -50      0
710- 48 T STAR (10P) SRIPPKT       |    0      0|    0      0|  0    0|  110      0|  0    0| -110      0
714- JIL JIL 1X10 PEC=1 BPKT       |    0      0|    0      0|  0    0|   55      0|  0    0|  -55      0
715- JIL JIL 1X10 PEC=1 BPKT       |    0      0|    0      0|  0    0|   35      0|  0    0|  -35      0
717- JIL JIL 1X10 PEC=1BOPKT       |    0      0|    0      0|  0    0|   17      0|  0    0|  -17      0
721- 10 CM PENCIL VIRBALAPKT       |    0      0|    0      0|  0    0|   20      0|  0    0|  -20      0
724- 15 CM PENCIL VIRBALAPKT       |    0      0|    0      0|  0    0|   20      0|  0    0|  -20      0
725- 18 CM PENCIL VIRBALAPKT       |    0      0|    0      0|  0    0|   15      0|  0    0|  -15      0
728- CORONATION CANDLE B.PKT       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
730- WHISTLING PIPER SONYPKT       |    0      0|    0      0|  0    0|   12      0|  0    0|  -12      0
732- HAND SHOWER MARIESWAPKT       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
733- SUPERB TORCH  2 PCS)PKT       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
735- BULLET BOMB MINI SRIPKT       |    0      0|    0      0|  0    0|  120      0|  0    0| -120      0
737- BULLET BOMB MINI SRIPKT       |    0      0|    0      0|  0    0|   40      0|  0    0|  -40      0
746- SADDAM BOMB  AUGUST PKT       |    0      0|    0      0|  0    0| 1500      0|  0    0|-1500      0
751- SOLDIER BOMB GREEN WPKT       |    0      0|    0      0|  0    0|   50      0|  0    0|  -50      0
753- L. B. BOMB GREEN W/FPKT       |    0      0|    0      0|  0    0|   25      0|  0    0|  -25      0
754- LALKAR BOMB GREEN W/PKT       |    0      0|    0      0|  0    0|  110      0|  0    0| -110      0
759- BHUCHAL BOMB SHAKTI PKT       |    0      0|    0      0|  0    0|   20      0|  0    0|  -20      0
761- MAHAKAL BOMB SHAKTI PKT       |    0      0|    0      0|  0    0|   20      0|  0    0|  -20      0
762- MARSHAL BLACK BOMB GPKT       |    0      0|    0      0|  0    0|   70      0|  0    0|  -70      0
763- V.I.P BOMB GREEN S.QPKT       |    0      0|    0      0|  0    0|   20      0|  0    0|  -20      0
768- TOP TIGER 1 NO FANCYPKT       |    0      0|    0      0|  0    0|  100      0|  0    0| -100      0
769- TOP TIGER 4 NO FANCYPKT       |    0      0|    0      0|  0    0|  200      0|  0    0| -200      0
772- TOP TIGER 6 NO FANCYPKT       |    0      0|    0      0|  0    0|   60      0|  0    0|  -60      0
773- SHER SHIKAR 6 NO FANPKT       |    0      0|    0      0|  0    0|   30      0|  0    0|  -30      0
777- LADEN BOMB 6 NO B. RPKT       |    0      0|    0      0|  0    0|  220      0|  0    0| -220      0
782- 100 LAR JAYEM       PKT       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
784- 300 LAR JAYEM       BOX       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
785- 600 LAR JAYEM       BOX       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
788- 1000 WALA LAR JAYEM BOX       |    0      0|    0      0|  0    0|  225      0|  0    0| -225      0
792- 1000 WALA LAR U.V.BOBOX       |    0      0|    0      0|  0    0|   51      0|  0    0|  -51      0
793- 1000 WALA LAR U.V.BOBOX       |    0      0|    0      0|  0    0|   30      0|  0    0|  -30      0
795- 1000 WALA LAR FULL CBOX       |    0      0|    0      0|  0    0|   35      0|  0    0|  -35      0
---------------------------------------------------------------------------------------------------------
                                            RAM FATAKA CENTER                                            
                            ITEM WISE PURCHASE SUMMRY : 01/04/2026 31/03/2027                            
Company  : ALL
---------------------------------------------------------------------------------------------------------
ITEM NAME               PACKING    |   OPEING   |   PURCHASE |PUR.RETU|    SALES   |SALE RET|    CLOSING
---------------------------------------------------------------------------------------------------------
802- 2000 WALA LAR KALUGUBOX       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
803- 2000 WALA LAR ( 400 BOX       |    0      0|    0      0|  0    0|   45      0|  0    0|  -45      0
807- 2000 WALA LAR ANBARSBOX       |    0      0|    0      0|  0    0|   35      0|  0    0|  -35      0
808- 2000 WALA LAR GAJA  BOX       |    0      0|    0      0|  0    0|   17      0|  0    0|  -17      0
809- 2000 WALA LAR FULL CBOX       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
817- 5000 WALA LAR ( 400 BOX       |    0      0|    0      0|  0    0|   11      0|  0    0|  -11      0
821- 5000 WALA LAR GRAND BOX       |    0      0|    0      0|  0    0|    4      0|  0    0|   -4      0
822- 5000 WALA LAR U.V.BOBOX       |    0      0|    0      0|  0    0|    2      0|  0    0|   -2      0
824- 5000 WALA LAR FULL CBOX       |    0      0|    0      0|  0    0|    6      0|  0    0|   -6      0
826- 5000 WALA LAR FUSE ABOX       |    0      0|    0      0|  0    0|    4      0|  0    0|   -4      0
830- 10000 WALA LAR U.V.BBOX       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
831- 10000 WALA LAR JAYEMBOX       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
841- 7 SHOTS OTHER(5 PCS)BOX       |    0      0|    0      0|  0    0|   75      0|  0    0|  -75      0
843- 7 SHOTS MERCURY (5 PBOX       |    0      0|    0      0|  0    0|   30      0|  0    0|  -30      0
851- 7 SHOTS MERCURY(10 PBOX       |    0      0|    0      0|  0    0|   13      0|  0    0|  -13      0
854- 12 SHOTS R/G RIDER UBOX       |    0      0|    0      0|  0    0|   20      0|  0    0|  -20      0
858- 12 SHOTS  SQ. R/G RIBOX       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
859- 12 SHOTS  SQ. COL COBOX       |    0      0|    0      0|  0    0|    3      0|  0    0|   -3      0
862- 12 SHOTS M.COL SQUARBOX       |    0      0|    0      0|  0    0|   80      0|  0    0|  -80      0
863- 12 SHOTS M.COL U.V.SBOX       |    0      0|    0      0|  0    0|   75      0|  0    0|  -75      0
864- 12 SHOTS M.COL BIG BBOX       |    0      0|    0      0|  0    0|   40      0|  0    0|  -40      0
865- 12 SHOTS M.COL HEXA BOX       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
870- 15 SHOTS M.COL. LONGBOX       |    0      0|    0      0|  0    0|   54      0|  0    0|  -54      0
874- 20 SHOTS M. COL.JOLLBOX       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
876- 25 SHOTS SQUARE(AI) BOX       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
877- 25 SHOTS SQUARE U.V.BOX       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
878- 25 SHOTS  LONG U.V.BBOX       |    0      0|    0      0|  0    0|   20      0|  0    0|  -20      0
879- 25 SHOTS  LONG DREAMBOX       |    0      0|    0      0|  0    0|   15      0|  0    0|  -15      0
881- 25 SHOTS M.COL LITTLBOX       |    0      0|    0      0|  0    0|    3      0|  0    0|   -3      0
891- 30 SHOTS M. COL.U.V.BOX       |    0      0|    0      0|  0    0|   41      0|  0    0|  -41      0
892- 30 SHOTS M. COL. GURBOX       |    0      0|    0      0|  0    0|   24      0|  0    0|  -24      0
893- 30 SHOTS M. COL. U VBOX       |    0      0|    0      0|  0    0|   87      0|  0    0|  -87      0
894- 30 SHOTS M.COL. U V BOX       |    0      0|    0      0|  0    0|   23      0|  0    0|  -23      0
896- 30 SHOTS M. COL. U VBOX       |    0      0|    0      0|  0    0|   28      0|  0    0|  -28      0
897- 30 SHOTS M. COL. LAZBOX       |    0      0|    0      0|  0    0|   18      0|  0    0|  -18      0
899- 30 SHOTS M. COL. AYYBOX       |    0      0|    0      0|  0    0|   41      0|  0    0|  -41      0
902- 30 SHOTS M. COL. COCBOX       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
911- 50 SHOT LONG WINSTARBOX       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
919- 60 SHOTS M. COL PENCBOX       |    0      0|    0      0|  0    0|   15      0|  0    0|  -15      0
920- 60 SHOTS M. COL U.V.BOX       |    0      0|    0      0|  0    0|   18      0|  0    0|  -18      0
921- 60 SHOTS M. COL U.V.BOX       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
922- 60 SHOTS M. COL U.V.BOX       |    0      0|    0      0|  0    0|   18      0|  0    0|  -18      0
924- 60 SHOTS M. COL U.V.BOX       |    0      0|    0      0|  0    0|   24      0|  0    0|  -24      0
925- 60 SHOTS M. COL U.V.BOX       |    0      0|    0      0|  0    0|   12      0|  0    0|  -12      0
927- 60 SHOTS M. COL AYYABOX       |    0      0|    0      0|  0    0|   12      0|  0    0|  -12      0
950- 100 SHOT M.COL. LONGBOX       |    0      0|    0      0|  0    0|    3      0|  0    0|   -3      0
953- 120 SHOTS M. COL U.VBOX       |    0      0|    0      0|  0    0|    3      0|  0    0|   -3      0
954- 120 SHOTS M. COL PENBOX       |    0      0|    0      0|  0    0|    7      0|  0    0|   -7      0
955- 120 SHOTS M. COL VETBOX       |    0      0|    0      0|  0    0|    6      0|  0    0|   -6      0
958- 120 SHOTS M. COL V.GBOX       |    0      0|    0      0|  0    0|    3      0|  0    0|   -3      0
959- 120 SHOTS M. COL AYYBOX       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
W 1 1/4 POGO MIXED ( 10 PBOX       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
W 100 SHOT 10 X 10 SIZZLIBOX       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
W 100 SHOT 10 X 10 TAIL LBOX       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
W 100 SHOTS M.COL. U V BOPKT       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
---------------------------------------------------------------------------------------------------------
                                            RAM FATAKA CENTER                                            
                            ITEM WISE PURCHASE SUMMRY : 01/04/2026 31/03/2027                            
Company  : ALL
---------------------------------------------------------------------------------------------------------
ITEM NAME               PACKING    |   OPEING   |   PURCHASE |PUR.RETU|    SALES   |SALE RET|    CLOSING
---------------------------------------------------------------------------------------------------------
W 1000 LAR (600 COUNTING)PKT       |    0      0|    0      0|  0    0|   11      0|  0    0|  -11      0
W 1000 LAR HALF ANBARSI  PKT       |    0      0|    0      0|  0    0|   36      0|  0    0|  -36      0
W 1000 LAR JAYEM         BOX       |    0      0|    0      0|  0    0|   71      0|  0    0|  -71      0
W 1000 LAR NEW JAYEM     BOX       |    0      0|    0      0|  0    0|  420      0|  0    0| -420      0
W 1000 LAR TAJ/SELVIS    BOX       |    0      0|    0      0|  0    0|    3      0|  0    0|   -3      0
W 1000 LAR UV BOX FULL COBOX       |    0      0|    0      0|  0    0|   13      0|  0    0|  -13      0
W 10000 LAR JAYEM        BOX       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
W 12 SHOT KINGSTAR'S     BOX       |    0      0|    0      0|  0    0|   37      0|  0    0|  -37      0
W 12 SHOTS HEXA COL.AYYANBOX       |    0      0|    0      0|  0    0|   46      0|  0    0|  -46      0
W 12 SHOTS HEXA SILVIR MIBOX       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
W 12 SHOTS SQ ROLLING MORBOX       |    0      0|    0      0|  0    0|   46      0|  0    0|  -46      0
W 12 SHOTS SQUARE COL S .BOX       |    0      0|    0      0|  0    0|  226      0|  0    0| -226      0
W 120 SHOT M. COL CITY MABOX       |    0      0|    0      0|  0    0|   14      0|  0    0|  -14      0
W 120 SHOT M. COM  GURU JBOX       |    0      0|    0      0|  0    0|   48      0|  0    0|  -48      0
W 120 SHOT M.COL NEW AYYABOX       |    0      0|    0      0|  0    0|    7      0|  0    0|   -7      0
W 120 SHOTS AYYANAR NEW  BOX       |    0      0|    0      0|  0    0|    2      0|  0    0|   -2      0
W 120 SHOTS M. COL. VETRIBOX       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
W 120 SHOTS M.COL MERCURYBOX       |    0      0|    0      0|  0    0|    4      0|  0    0|   -4      0
W 120 SHOTS RANG DE BASANPKT       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
W 120 SHOTS TRANSFORMER IPKT       |    0      0|    0      0|  0    0|    3      0|  0    0|   -3      0
W 15 SHOT M.COL DHUA R.R.BOX       |    0      0|    0      0|  0    0|    3      0|  0    0|   -3      0
W 15 SHOTS M. COL FESTIWABOX       |    0      0|    0      0|  0    0|   71      0|  0    0|  -71      0
W 15 SHOTS M. COL. DAY TRBOX       |    0      0|    0      0|  0    0|   54      0|  0    0|  -54      0
W 18 SHOT ROMANCANDLE ( 2BOX       |    0      0|    0      0|  0    0|   15      0|  0    0|  -15      0
W 2 1/2 F P 3 STEP SURYAKBOX       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
W 2 1/2 F PIPE  BALAJI ( BOX       |    0      0|    0      0|  0    0|   36      0|  0    0|  -36      0
W 2 1/2 F PIPE  MIX BIG  BOX       |    0      0|    0      0|  0    0|   14      0|  0    0|  -14      0
W 2 1/2 F PIPE FIVE  MIX  BOX      |    0      0|    0      0|  0    0|   97      0|  0    0|  -97      0
W 2 1/2 F PIPE MIX UV BOXBOX       |    0      0|    0      0|  0    0|   36      0|  0    0|  -36      0
W 2 1/2 F PIPE UV BOX SIVBOX       |    0      0|    0      0|  0    0|   30      0|  0    0|  -30      0
W 2 1/2" F. PIPE 2 IN 1 (BOX       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
W 2 1/2" F. PIPE(3 PCS)AYPKT       |    0      0|    0      0|  0    0|   25      0|  0    0|  -25      0
W 2 KG. COL.CLOUD WITH FOCYLINDER  |    0      0|    0      0|  0    0|    4      0|  0    0|   -4      0
W 2000 LAR ( 1200 COUNTINBOX       |    0      0|    0      0|  0    0|    3      0|  0    0|   -3      0
W 2000 LAR CLASSIC MUGUNTBOX       |    0      0|    0      0|  0    0|    3      0|  0    0|   -3      0
W 2000 LAR JAYEM         BOX       |    0      0|    0      0|  0    0|   20      0|  0    0|  -20      0
W 2000 LAR NEW JAYEM     BOX       |    0      0|    0      0|  0    0|  152      0|  0    0| -152      0
W 2000 LAR U.V. BOX  ANBABOX       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
W 2000 LAR UV BOX FULL COBOX       |    0      0|    0      0|  0    0|    3      0|  0    0|   -3      0
W 240 SHOTS M.COL PENCIL BOX       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
