

                                            RAM FATAKA CENTER                                            
                            ITEM WISE PURCHASE SUMMRY : 01/04/2026 31/03/2027                            
Company  : ALL
---------------------------------------------------------------------------------------------------------
ITEM NAME               PACKING    |   OPEING   |   PURCHASE |PUR.RETU|    SALES   |SALE RET|    CLOSING
ITEM NAME               PACKING    |   OPEING   |   PURCHASE |PUR.RETU|    SALES   |SALE RET|    CLOSING
---------------------------------------------------------------------------------------------------------
1113- MISSILE GUN R-751 SPCS       |    0      0|    0      0|  0    0|  100      0|  0    0| -100      0
1115- PUBG GUN ( 5 P X 1 BOX       |    0      0|    0      0|  0    0|   15      0|  0    0|  -15      0
1118- RING CAPS (1OOPKT= PKT       |    0      0|    0      0|  0    0| 1150      0|  0    0|-1150      0
112- ROLL CAPS S.T.D.    PKT       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
1121- MISSILE SIREN(127X1PKT       |    0      0|    0      0|  0    0|   28      0|  0    0|  -28      0
114- R & G MATCH BOX SHANBUNDLE    |    0      0|    0      0|  0    0|    3      0|  0    0|   -3      0
1162- F. POT COL. KOTI 'MBOX       |    0      0|    0      0|  0    0|  120      0|  0    0| -120      0
117- GEM MEGA ( 10 PKT ) PKT       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
119- ASST CARTOON(10 PCS)PKT       |    0      0|    0      0|  0    0|   28      0|  0    0|  -28      0
120- ASST CARTOON BEN TENPKT       |    0      0|    0      0|  0    0|    4      0|  0    0|   -4      0
121- SNAKE CARTOON(25P)SAPKT       |    0      0|    0      0|  0    0|   12      0|  0    0|  -12      0
122- RAJDHANI RAIL(10 PCSPKT       |    0      0|    0      0|  0    0|   30      0|  0    0|  -30      0
124- BIG NAGGOLI PANDYAN BUNDLE    |    0      0|    0      0|  0    0|   21      0|  0    0|  -21      0
125- BIG NAGGOLI PANDYAN BUNDLE    |    0      0|    0      0|  0    0|  300      0|  0    0| -300      0
127- JEE BOOM BAA SQUARE BOX       |    0      0|    0      0|  0    0|   30      0|  0    0|  -30      0
128- JEE BOOM BAA HEXA GLBOX       |    0      0|    0      0|  0    0|   20      0|  0    0|  -20      0
